artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mumford & Sons,Wilder Mind (Deluxe),Tompkins Square Park,3ujy90VRVmcRFbsGcQEuc2,0.467,0.799,2,-6.527,0,0.051,0.0251,0.156,0.437,161.549,311627,4
Maggie Rogers,Love You For A Long Time,Love You For A Long Time,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,9,-6.137,1,0.0323,0.00283,0.109,0.822,112.993,223120,4
Hozier,"Wasteland, Baby!",Dinner & Diatribes,5yZtHXjySe6jDjOM6Yi3Mw,0.499,0.769,1,-5.576,1,0.0522,0.0274,0.117,0.333,110.835,224147,3
Colouring,I Can't Make You Love Me,I Can't Make You Love Me,7tGQnE7ZroxkStpXSmcH0q,0.358,0.157,5,-15.79,1,0.0376,0.000803,0.0935,0.25,120.637,277377,4
The Lumineers,Live Tracks,Charlie Boy - Live,06cNxjHJtZWWU3JaL3cd4p,0.484,0.494,7,-8.102,1,0.0357,3.29e-05,0.971,0.42,130.276,350316,4
George Ezra,Wanted on Voyage (Expanded Edition),Leaving It Up to You,2PAQygVRwdmwzY955cn2FS,0.61,0.495,7,-9.07,1,0.0374,0.0,0.0905,0.373,90.034,216453,4
Vance Joy,I'm with You,I'm with You - Single Edit,43RRT2lNaEGaVfGVySLDFb,0.584,0.677,7,-4.336,1,0.0297,0.0,0.105,0.113,119.006,221138,3
Hozier,"Wasteland, Baby!",Talk,29bXfCo3mQVzohwPJXohaU,0.397,0.538,2,-6.503,0,0.0339,0.148,0.113,0.247,154.342,206547,4
The Head and the Heart,Living Mirage,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,9,-7.886,1,0.0387,0.000509,0.552,0.488,136.014,196055,4
Picture This,When We Were Young,When We Were Young,71MBnl6YQe91yWUDhjQRpF,0.5,0.806,0,-3.722,1,0.0317,0.0,0.468,0.322,97.948,212080,4
Mumford & Sons,Babel,Not With Haste,2rC0gZUp3Flzus9OtZtnDP,0.394,0.484,4,-9.356,1,0.0299,0.000156,0.118,0.119,133.065,247045,4
Brother Moses,Magnolia,Inertia,2uS9Q4QmCZUjQxDzvtSk10,0.602,0.179,4,-10.373,1,0.0371,9.32e-06,0.114,0.135,82.145,249072,4
The Lumineers,The Lumineers (Deluxe Edition),Stubborn Love,7x46YkKAwp3yZpaa72n5Mu,0.596,0.544,0,-11.759,1,0.0362,0.017,0.262,0.262,115.022,279000,4
Tiz McNamara,April Fool,April Fool,3pphvys29ALVFqSwzRLgA0,0.682,0.199,10,-10.613,1,0.036,5.79e-06,0.11,0.155,121.846,228345,4
John Vincent III,Songs from the Valley,Next to You,3MwHZDGwAR8RjZZBriBqmx,0.443,0.419,7,-7.975,1,0.0321,0.00183,0.404,0.0719,132.204,256520,4
Aisha Badru,Transcendence,Millennial,10JRIlS2NWwUlEePtwaUhX,0.587,0.0984,2,-18.198,1,0.0424,0.000143,0.103,0.221,124.808,173231,4
Mumford & Sons,Sigh No More,Sigh No More,1n4t51kJm4wX8NyOvyVA9V,0.488,0.328,0,-10.088,1,0.0304,0.00014,0.377,0.187,147.769,208573,4
Hozier,"Wasteland, Baby!","Wasteland, Baby!",1IbgYIuVwJsibCcT5GFYHy,0.427,0.407,2,-9.665,1,0.0382,0.386,0.109,0.244,168.844,266467,4
Of Monsters and Men,Beneath The Skin (Deluxe),We Sink,0KtQxdGPKzeAwKBt3LrD24,0.461,0.77,11,-6.017,0,0.0288,0.00413,0.125,0.352,110.928,261880,4
George Ezra,Wanted on Voyage (Expanded Edition),Cassy O',0KlUnDYTACNGFPFIUa3eZd,0.537,0.84,2,-4.799,1,0.0363,0.0,0.33,0.192,97.993,184120,4
James Bay,Chaos And The Calm,Hold Back The River,7tmtOEDxPN7CWaQWBsG1DY,0.715,0.715,5,-7.364,1,0.0904,0.0,0.0936,0.506,134.923,238747,4
Tom Rosenthal,Z-Sides,All of Them Dreams,6owLSHQ9u2jU9CRidHyA9B,0.419,0.0938,2,-17.633,0,0.0459,0.000128,0.799,0.165,77.516,176981,3
Hozier,"Wasteland, Baby!",As It Was,4li9KmEUg6RVrAe1Y4p86W,0.398,0.154,0,-11.395,0,0.0351,0.157,0.113,0.155,173.589,207653,3
George Ezra,Wanted on Voyage (Expanded Edition),Over the Creek,37fai71ztIpymar8TEo0P4,0.57,0.7,5,-6.797,1,0.0387,0.0,0.667,0.367,93.863,236720,4
Mumford & Sons,Babel,Broken Crown,5RI4Ecj8kvkH5W7q7mw4HU,0.412,0.629,2,-8.696,0,0.0397,0.000898,0.137,0.255,128.096,256400,4
Adam Melchor,The Archer,The Archer,3z4d1WUntiCzvbeYlatcF7,0.263,0.277,2,-11.902,1,0.0353,0.0212,0.106,0.322,168.877,260291,4
Lilla Vargen,Love You Twice,Love You Twice,0p8N7QE1DJtY6IVmLy1YZc,0.497,0.118,7,-11.996,1,0.0319,4.13e-05,0.116,0.164,95.044,204736,3
Delacey,Black Coffee,The Subway Song,2ynBghJiu4H9qGoXhuFS8x,0.58,0.662,0,-6.208,1,0.059,0.000131,0.138,0.406,108.047,241854,4
Birdy,Beautiful Lies,Deep End,555CH6CnGJRqO37pqA30vW,0.455,0.296,2,-8.513,1,0.0399,0.0,0.0783,0.31,171.744,208840,4
Kodaline,In A Perfect World (Expanded Edition),All I Want,0NlGoUyOJSuSHmngoibVAs,0.209,0.412,0,-9.733,1,0.0443,0.15,0.0843,0.162,86.26,305747,3
Dermot Kennedy,After Rain,After Rain,5fQa04cwDF11Giq5N2tGdU,0.48,0.418,11,-9.622,0,0.0312,0.00416,0.11,0.319,132.404,294000,4
James Blunt,Once Upon a Mind,5 Miles,217nsvJYCOEgntglixnwWi,0.615,0.69,0,-6.077,1,0.0447,0.0,0.165,0.501,102.072,199751,4
Tom Odell,Long Way Down (Deluxe),Can't Pretend,2Q3UgGcvhdaX6k13PDNguP,0.45,0.473,1,-8.504,0,0.0291,0.00061,0.117,0.293,79.517,217840,4
James Bay,James Bay Spotify Session 2015,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,359lSGQwvAM3aZA5UNwqiQ,0.68,0.315,11,-8.425,1,0.0391,0.0,0.712,0.361,117.614,236787,4
Bastille,All This Bad Blood,Oblivion,3IvSKBO9Fu4yEWRPXvfrLU,0.422,0.321,5,-8.952,1,0.0294,2.33e-06,0.429,0.28,78.533,196347,4
James TW,Chapters,Soldier,00f9VGHfQhAHMCQ2bSjg3D,0.496,0.639,6,-6.157,1,0.055,0.0,0.0975,0.305,147.764,224720,4
Noah Kahan,Busyhead,Mess,1BlQWQgGP84r4GYUVty4Ar,0.442,0.826,10,-5.32,1,0.0775,0.0,0.0978,0.601,80.848,213320,4
JP Cooper,Raised Under Grey Skies (Deluxe),Passport Home,4DzgGTs7eaS6DHHOp1xcyj,0.608,0.474,5,-6.591,1,0.0272,0.0,0.143,0.243,86.06,180167,4
Juke Ross,GREY,Colour Me,6MfsJgg1gTRxLbmh0ZZYi4,0.54,0.327,8,-8.364,0,0.0371,0.0,0.356,0.343,80.578,211373,4
Picture This,Unconditional,Unconditional,6WuVqsLi3eUp08vBgdEZmB,0.602,0.664,0,-6.486,1,0.0379,0.0,0.0692,0.435,117.919,193347,4
fun.,Some Nights,Some Nights,67WTwafOMgegV6ABnBQxcE,0.672,0.738,0,-7.045,1,0.0506,6.75e-05,0.0927,0.392,107.938,277040,4
Tom Walker,Leave a Light On (Acoustic),Leave a Light On - Acoustic,2k2CZ1dJClLmDO2TVGsz1R,0.38,0.406,5,-6.761,1,0.0403,0.0,0.0951,0.202,136.579,217366,4
Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,3.23e-06,0.109,0.417,138.015,242373,4
